PAUTA,BREVE DESCRIPCION,COPY,MATERIAL,FECHA DE PUBLI,ESTADO,PRODUCTOS,CANAL,PAUTA ,FB Likes,FB ALCANCE,Ig Likes,IG ALCANCE,TT LIKES,TT ALCANCE,RESPONSABLE
,Organiza tu viaje ,"¡PALPITANDO LA LLEGADA DE LA NIEVE! ❄️
La temporada de invierno ya se siente en el aire y en Esquel estamos listos para recibirte. 
Es hora de planificar tu escapada a la nieve!
 
⛷️ No esperes más: anticipá tu pase para esta temporada en La Hoya ingresando a www.skilahoya.com.

🏨 Encontrá tu alojamiento ideal aquí: 👉  https://www.esquel.tur.ar/planifica/alojamiento/

💡 Un consejo: Consultá con las agencias de turismo habilitadas de Esquel y organizá tu próxima aventura sin preocupaciones aquí: Agencias de Turismo  https://www.esquel.tur.ar/planifica/agencias-turismo/

#nieve #LaHoya #Esquel #patagoniaArgentina #Invierno2026",ESQUEL 377.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/XrPQGLEwXNftxlA5ymiznw/E9c-mD5oRCYIQz2NC9jXlla0Je0VwxFKSYHpg9fuBdOE44O0CCmaU_JDHKj8gb93xLAFShfIsAwlj7Klq8lhm6xrFA0BIL7CTllqdwqXaGpYyEShJMxF4UPBYm-ntyrtqFDWX9byESooj9lSmGoM3y9_1ZIZEvquXSb8fRsiHks/qblMb7tYriE9aykCg2ZEmqKIK8tH0LVupcbmdH-WSM4),12/5/2026,PUBLICADO ,"INVIERNO,LA HOYA",,,,,,,,,
,Pinturas Rupestres ,"LO QUE EL TIEMPO NO PUDO BORRAR 
Existe una obra que traspasa el tiempo: un alero de piedra que protege el rastro de quienes habitaron estas tierras hace miles de años, grupos de hombres y mujeres que recorrian grandes territorios en cada cambio de estación. 

📍 ¿Dónde? En Villa Futalaufquen. 
🗓️ ¿Cuándo? Todo el año. 
👍 Dificultad: baja
♿ Accesibilidad: la senda está adaptada para sillas de ruedas.

📍 Parque Nacional Los Alerces - Patrimonio UNESCO

#Esquel #PatagoniaArgentina #TurismoAccesible #PinturasRupestres ",IMG_1640.MOV.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/MGSFnLrdfeaFTH_MwTUuzg/8jyovwod-X3ymO0p6Uz7QCasOR6sF35V-2nU6A0lb2vC96QNv89sBwMPBc2pCJV9VK5cBIut2Eiouwal30Ks3czlvCnFXQLav26H8VP5or6nEBY9fLlGVv8i19BCBDKk6nLX1lYdDTD-5CgOhcrmkN8TuLJoq2CJfJIPNDU-FSo/oGZwKAFchjWEY0-ws6pvYvoKcENlCRuthTrvrFARmqQ),13/5/2026,PUBLICADO ,"PAISAJE,NATURALEZA","FACEBOOK,INSTAGRAM",,,,,,,,
PAUTA ,Exc. Glaciar y Alerzal,"¿BUSCÁS EXCLUSIVIDAD EN PLENA NATURALEZA?

Vení a conocer el Glaciar Torrecillas y el Alerzal Milenario en una experiencia que combina lo mejor de la navegación y el trekking en el Parque Nacional Los Alerces.

⚠️ Dato clave: asegurá tu lugar reservando con anticipación
🎒 Para tu mochila: recordá vestirte en capas para combatir el frío de montaña y traer calzado resistente.

Parque Nacional Los Alerces - Patrimonio UNESCO 

Esquel, Patagnia Argentina 

#invierno2026 #nieve #Esquel #PatagoniaArgentina #glaciar 
",TORRECILLAS-ALERZAL_GLAXIAR-35 (1).jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/rjItkTqZ5mn5cFVp6IfSHA/YhVhcT7DW2Vq6-Mm0EA5M_n7TuNwg3IkjnK7g4JUQahPAOzYT8_p7ohRrzX4gMrZW5h3cnSgjbQ72_zjxtHHwoLF0LuusF5_IvfRlDp-Es9MUYd9qHiw0dhwDGz-27jvgoMTb-aaH0wyUgiZAh6CgdRYr5UehD4ZxDACD0KrOZDKhFZFGFEgcFI75fP9HEzh/DhO_VwYc485vs9dkdz3Bhn5cVUCDUQhQIvhAHHQQC1k),14/5/2026,PUBLICADO ,"INVIERNO,GLACIAR TORRECILLAS",,,,,,,,,
,Pases LA HOYA,"VIVÍ EL INVIERNO 2026 EN ESQUEL: LA HOYA LANZÓ LA VENTA DE PASES ❄️

📍Ubicado a solo 13 km de Esquel, @camlahoya destaca por su calidad, exclusividad y cercanía.

🫂 Esquel te espera con los brazos abiertos.

¿Qué estás esperando para vivir un invierno diferente?😉","2.jpg.jpeg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/WjayzIXkVvOScptAYPNUrQ/jNvRm5NdP_SSsLRc7BunZCJ65kdzPjGjVtXYXqA76pTVPWyTDQKe53m-YZV2fPJcIitOj2z-z6mEZLYA_IQYMaTLIzwo2Qj2F4QWK5LzwmbHKW-PszLSuEtOy0BuEZdgT_ZwmpJgtxTDvc4BR5ITgdnZJ9vH2qnBZMe4dBCtEPo/SxZYCm8Lf8mguMcW44rjWT4ZYQRq9YIrodbEHcXASxw),1.jpeg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/SZUfx81mbrPXE1OnKfa4lQ/ZU6wTo9YZJksZmR3DvYOt6vxas_9ffZw3WzlR-tWvuT2d0bDa6asj9lzDpSz3vNru3L2ZCCVUhFVUCECvLGr8xNApVX9Kr0KQAzxqwEZOCMa5rHOAB3DPvqup-NWX_Vrj10XRa8AnfFEB_BvJh1G1w/rHKM2_uqBYow8xkSCpPuxvdF18mpmVXKT2ZREZCVYnk),6.jpeg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/BRhaXKHggRXIDE4SOv89WQ/0i79Pk6dBRbxXgTJ1WreyVsNU31KC4WFnbIkI30icyiOILGboOEYpDeeiqESFlrgBSjWxsZmTX1Czf_uPgxKngy3yvZaYv_eRXBofRLZOUSa29K9jV5L0LNUhPH3qDT9ebsOptP8o7pwN_-UcylF3g/3aiogWRY5g2kX6oillZtAYmC4mYV9cynnZ64ncbrORY),5.jpg.jpeg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/kIpDxRtCKu7VostR4fGFQg/QT4xJiF7yuAUIiQ44bu_xKspJv1dlDO40dSNX7JB_iFxzOvOc7Pz2Qu5acwiwAPT1YyhXiV6hhaf2bn82mYfuuA5nbDkFiSKjY-Cr8x0QerlSEGNCrPB3wzI8OZMGmZP0NrdTKATAITb1VtjM2vES_fEYjDfjDceLeLTvx-N1zI/JIszKT3reOzB2cgocC8yWaou9_g3jFEzWw5Z67cRib0),4.jpg.jpeg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/JQMdHhoQBHBvl9NvWGNk7Q/o9o6166K6sfr6XIAyYHAidwMhDsbIoQf3oiAF_N5SFvOweWQXC5LWBFK1upaY_IT92CpSDS2ZlK_qG8Pc-G1BJbtXqsXt-wauSkRyZFitQ32L2gLaHDSPMn6x7b2ZLfh3drQ-aRnhKFBBAYJ4a0DrRHqqFbAWWRfk3SvRUVOeZM/04tvuUoFcTH5pglPpLQSZfuj3GpkpNQJPDi9SQfgavU),3.jpg.jpeg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/KeJw9m7d2Ug6VJzvUVfdmA/hz6Nygcn9l8Xc4z18GmtefSec9HEIydWWka8_5n7BLM4g8XKv0kYVibk4vTjOBp3dM_ZsusE5_KZsJLdxiMb5Avhl2eTWvLVDiz8GALWeQ8qLR5Oo3icFydrZFlvlsNczqdxwBobxPoDeV89tRH4ns8KMQI562xWX0wk1qQi7sY/J7cKQ10chS4Q0wdRzp2by32p-KUbrWG3ypHzXm_bpXM)",15/5/2026,PUBLICADO ,,,,,,,,,,
,Pueblo Alto - VIDEO ,"Pueblo Alto: una pausa tan cálida como deliciosa

Luego del canopy, el té de campo en Pueblo Alto es la pausa perfecta para reponer energías y sentir los sabores inconfundibles que se realzan al ritmo lento de la cocina a leña.

El fogón a leña, la luz tenue y un paisaje soñado, hacen de este lugar un sitio ideal para bajar el ritmo, conectar con el silencio y contemplar.

📍Pueblo Alto se encuentra a 30 minutos de Esquel por la Ruta 71 y a pasos de la Portada Centro del Parque Nacional Los Alerces.

Además cuenta con hospedajes y actividades que se sostienen durante todo el año.

¿Con quien te gustaría estar en este lugar?

",Reel Pueblo Alto - TurEQS 3.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/PIfPQ2A2CYeEBK2v4x30zQ/5DIAznxftg8l3XSuLhKdNqMB7OHSJeTWPNte1cKUwIHvDEE76yTLF23qLzBGULUr63UuuufqqE-0iOZO6jENsJ3vhKA6umujJ3-dS3K842HBH_6fMSAznA0b7lLxXUfk8zzhXUaIuDnTp703BE7wvF3UbtMTkObpHwagy9OoU9_srI15xPQ7-5D5n9n9si4h/v9FzqwiSP5TGhKv1hYYSzBm8tVVy_ovPHunzDdcgp5g),16/5/2026,PUBLICADO ,GASTRONOMÍA,"FACEBOOK,INSTAGRAM,TIKTOK",,,,,,,,Yago Miguens
PAUTA ,La Trochita de regreso +Polo ,"El viaje termina, pero las ganas de volver no.

No te fuiste aún y ya querés regresar.
Donde los recuerdos nacen antes de que el viaje termine.
La parte más difícil de venir es saber que tenés que irte.

Planificá tu visita y sacá tus pasajes con tiempo. https://ventas.latrochita.org.ar/public/comprar-tickets

📍 Esquel Patagonia Argentina 

#Esquel #LaTrochita #TrenHistorico #EsquelTeHaceBien #pet friendly",Porlo + Cartel de Esquel.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/dH9Guiyk2-qJ8XY5chVGQA/xdB9D1uW9LCKAaYqN8Vz-ILCRDhd1pGmxfuD5eQmW5hv7ilZhb742S3E3KZgARc0A2wSdTBrqgxJjfHa5qAChbs-LQZJIf-BBgtUM-2dODVXWCyqjaAYNjH8qzTok9bQPdDGIO4bDZYKSQcERp8BND4y4ZutCsnvvgROlHKRgGg/hd3vMijfXbOSAfCeP3CjPhZ3Joro9rRm-0RkRg6dnn8),17/5/2026,PUBLICADO ,PETFRIENDLY,"FACEBOOK,INSTAGRAM",,,,,,,,
,Dia de los Museos (colaborativo) ,"DOS LOCALIDADES, DOS PUEBLOS, MIL HISTORIAS.

En el Día Internacional de los Museos, nos unimos para invitarte a recorrer los Museos de la Cordillera: un viaje compartido entre Esquel y Trevelin para descubrir las huellas, el arte y la identidad que nos unen como región.

📍Chubut, Patagonia Argentina 

#Esquel #Trevelin #DíaInternacionalDeLosMuseos #MuseumDay ","dos pueblos.zip (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/wNJYRuqIkd2YMZWOwyekvg/zwHG_wphdO7SzewvI8TcxOa27-XUSy0Dkb-f1TaX1WIUoE_-IOQzfUC4g6RYTvhyd5PSGwOPLM1Dtd3c33UVFU83dPPhp3uCohOrB5qPquAyCmVw_oMXfF-kZm_9ZKHMOquyJ25Wv8WayXTsGArWC6ghprp35g_df9QRW-QgjdE/gnQrijXJ6zRd2fQtFPmHehrXMVj39oXYfOGV0_rr1Ws),Museos De Trevelin- Pueblo de Experiencias .zip (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/05axEVgRSu8f8PR6VZcQgA/I-oCNDMfEOYvGHr42Ni7MfQiPPfGBQGq4hNzFGjGglDvZr5-1myKJTtVCnf9L4Bkj5QqmR2GfyNJ8KZfuJU8AeNO7tkYXOv_fxdZEzmM_H9qXgdgUFMApk0W-BdQUX0DEw_jV6ONplCGuzvyEAFBlbVL7sTmve5SnU1R-snrkyg0NHPPOULgcpuDix3-dG20/CGE6dcvPMZp7sJGTfxtYM2gv1Xm-Oyh3pQTTL792TuM)",18/5/2026,PUBLICADO ,"CULTURAL,EFEMÉRIDES",,,,,,,,,
PAUTA ,La excusa para viajar ,"¿BUSCÁS UNA EXCUSA PARA VIAJAR?
El tiempo vuela y la próxima temporada de invierno ya está cerca. 
Vení a Esquel a disfrutar de nuestros imperdibles de siempre: historia, naturaleza, aventura, sabores patagónicos y el encanto de una ciudad que te recibe con los brazos abiertos.

Podés conocer más visitando nuestra web: www.esquel.tur.ar
 ¡Planificá tus recorridos con tiempo para aprovechar al máximo tus días!

📲 Estamos para ayudarte WhatsApp: 2945 529616

📍 Esquel, Patagonia Argentina 

#nieve #invierno #Esquel #Patagonia #esquí ",Esquel - invierno 2022   (2).jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/0ZFqgp7mCT5gEu2fIZkbAA/aAgY-orzkq9YBTsZV7w5qlCExqODR59fhzD_RqQ851xv7ln7JyEc_XkspA2qgLFyZzm3JAwrjIx_GGkaiJ8KIEDO9Dx-Y_YmA0UZluJUWYIPfoYg9zCIeG7u9qpsO0aCAiLvvB1rxAUYnjWgEJi-vGvRQZgIowlmCMJGFUaAbiU/D0cJXLH_1lXlJmH6Yb5SCdKp-U8TfagIZHu3UjIyyqE),19/5/2026,PUBLICADO ,INVIERNO,"FACEBOOK,INSTAGRAM",,,,,,,,
,Cabalgatas,"CABALGATAS EN ESQUEL🐴
El contacto con los animales, el viento de la cordillera y la vista que se pierde en el paisaje son parte de una experiencia inolvidable.

Sumate a esta actividad que se sostiene durante todo el año.

¡Consultanos! +54 9 2945 529616 📲

🇦🇷 Esquel, Patagonia Argentina. ",DSC02573.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/KA8p42mXDyTODmzsYq619Q/ZkKSsve0JBT5mjSNOtfwJqEQ1iPIPG7yVVSS48SYjLVEV1mxSP70BdirmwCcaSB4jjPzU3tqfrbv9UpSWv8ypuOOJ6LAbYSJ-wga19AS9xvrSYIh5QW1TmuuhmhS8aUdkUsHRiyo1g-cSV3rI-cP6OUzUfkzEMgOZV7aBxV8LeA/BGoVExv1LvddlFR6u6P91RmK3xybFftNhF80WQfWHPM),20/5/2026,PUBLICADO ,CULTURAL,"FACEBOOK,INSTAGRAM",,,,,,,,Yago Miguens
,La Zeta ,"¿Buscás naturaleza sin irte lejos? 
Laguna ""La Zeta"" es la respuesta. 🙌
Un paraíso que sorprende en cualquier época del año, ideal para los amantes de la fotografía y el aire fresco.

📍 A solo 4 km del centro de Esquel.
🗺️ 1100 hectáreas de acceso público y gratuito.

📢 A tener en cuenta:
Revisá el estado del camino antes de ir.
Por seguridad, no camines ni ingreses a la laguna si su superficie está congelada.

📍 Esquel, Patagonia Argentina.

#fotografía #PatagoniaArgentina #LagunaLaZeta #Invierno2026 ",DJI_0994 (1).jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/rKZ7t2kKO-0GAQ3BuWG0vw/heYWuPVF2TlAmhy92OJBe8uirbq16Eu13x7xVLmJAAHy-GP2Bi3przzvd-adL-GzsDrCNF3Facjhi3nuzMAvkTab6a61KasjY3CyC7RWyOOpgPswNY0nU8-k3KjfXkyqIdv5SHG8CtN9qk6RVtSfC2D8a74tqw_GiLrojVMRXnY/ppFD-DYyy4lGP0SkJyazpK1B3BK-4iyyqu06JVzWcoI),22/5/2026,PUBLICADO ,NATURALEZA,,,,,,,,,
,La Hoya - Invierno ,"La montaña ya se está preparando... ¿Y vos? 🏔️❄️
La Hoya ya palpita una temporada única, divertida y llena de nuevos desafíos en la nieve.
 ¿Estás listo para dar el salto? ⛷️🏂

 No esperes más: anticipá tu pase para esta temporada en La Hoya ingresando a www.skilahoya.com

 Encontrá tu alojamiento ideal aquí:  www.esquel.tur.ar/planifica/alojamiento/

 Organizá tu próxima aventura sin preocupaciones: www.esquel.tur.ar/planifica/agencias-turismo/

📍 Esquel, Patagonia Argentina.

#nieve #LaHoya #Esquel #patagoniaArgentina #Invierno2026  ",LA HOYA_APERTURA_7_7-22 (1).jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/HaHqKhkST95yc79fmIQYuQ/AMyFof3LSdHT6kUbczxjgo-eUXLC5MdU4Pk8xY9BByLWY9F8e4BfXchPN5_rsJvj7ydxsDsQGV0V-8l_r9UevJBfn4DPbhEgOCKIHFad-_izA_PtJ4DojX-VgfE_DjBXLRIG3EfHxH6RtFMjY7TnuvmFs3_vLAFqwewa0zhQJmJ52cSlvjdPGh0hy8VwTfGf/hn26PSEoWwaE6WFtFEu1KPmLKjsMkdFEVle_XAB4oZw),23/5/2026,PUBLICADO ,INVIERNO,,,,,,,,,
,Alto rio Percy ,@viajemosjuntos,,24/5/2026,,,,,,,,,,,
,Empanada más grande del mundo,Video ,,24/5/2026,PUBLICADO ,"GASTRONOMÍA,EVENTOS",,,,,,,,,
,compartida -video del tren ,@franciscobuduba,,25/5/2026,PUBLICADO ,CULTURAL,,,,,,,,,
,La Trochita -  Aniversario ,"LA TROCHITA: UN EMBLEMA HISTÓRICO DE ARGENTINA 🇦🇷

Un 25 de mayo de 1945, el eco del silbato resonaba por primera vez entre los cerros, marcando la llegada del tren a la Estación de Esquel.
A 81 años de aquel día histórico, esta joya sigue desafiando al tiempo. 
Subir a sus vagones de madera y sentir el calor de las salamandras no es solo un paseo: es entrar en la historia viva de la Patagonia.

📍 Esquel, Patagonia Argentina

#LaTrochita #Esquel #PatagoniaArgentina #DíaDeLaPatria #TrenHistórico",DSC04625 (5).jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/CQmhB60Spjgj7MvP--pzeg/jXVJbZ4cvJ_HbsRqhMKpdTCE-HSexlgtTy9u2TUzKNYxIMfdAS8mIavzuYuxYK8C3GlkyOTw7ZYvzmxL3XdRtTi1KXV_B7lFjEaK9nihYN0YdTH_Mx5KpCT5RsWLLU4YNDJaGW8FEHgGNLCTc3F3LLkfCMVb5PBomJqkiWYqD3E/OFUH6PugRQV-Brr1wkDO0fAQqSTPAquU7VBeK8GmQFM),25/5/2026,PUBLICADO ,"EFEMÉRIDES,LA TROCHITA",,,,,,,,,
,compartida video de empanada ,@viajemosjuntos,,25/5/2026,PUBLICADO ,"GASTRONOMÍA,EVENTOS",,,,,,,,,
,Camino a La Zeta -Sendero ,"A TU PROPIO RITMO 🏔️

No importa cómo elijas subir, la recompensa es la misma: una vista que te quita el aliento y una recarga de energía. 

Podés desafiar las pendientes en bicicleta o disfrutar de un paseo tranquilo sintiendo cada paso. La invitación esta disponible. 💪

Estamos atentos a tus consultas

#Esquel #LaHoya #TurismoArgentina  #MountainBike #Nieve",,26/5/2026,PUBLICADO ,"AVENTURA,NATURALEZA",,,,,,,,,
,Mirador PNLA ,"HAY PAISAJES QUE SON MÁS LINDOS COMPARTIDOS

Venir a Esquel te ayuda a conectarte con vos mismo y con tu compañero de viaje.
En cada mirador, contemplar la vista e inmensidad de la naturaleza van a producir recuerdos que serán imborrables.

Cada camino te sorprende, ¿te animás a descubrirlos?

📍 Sendero Pinturas Rupestres, Parque Nacional Los Alerces.

#Esquel #PatagoniaArgentina #TurismoArgentina #Patagonia #Turismo
",,27/5/2026,PUBLICADO ,NATURALEZA,,,,,,,,,
PAUTA ,ECLIPSE ,"ESQUEL SERÁ EL MEJOR LUGAR DEL MUNDO PARA EL PRÓXIMO ECLIPSE ✨
¿Sabías que nuestra ciudad va a ser el mejor lugar del planeta para ver el próximo Eclipse Solar Anular? El famoso ""Anillo de Fuego"" se va a lucir con una nitidez perfecta justo en nuestro cielo.
El fenómeno astronómico del año se vive acá. ¡Empezá a planificar desde ahora!
Consultanos: 📲 +54 9 29 4552 9616 ",,28/5/2026,,EVENTOS,META ,,,,,,,,
PAUTA ,PNLA  - Pasarela  ,"LOS ALERCES TODO EL AÑO
Cuando venís a Esquel, un imperdible sin dudas es el Parque Nacional Los Alerces. Con su infinidad de miradores, senderos y playas, vas a maravillarte en cada paso.

🍃 Sin multitudes, sin estrés y con una esencia única, es un lugar ideal para desconectar de todo y vivir la naturaleza.

✨ Disponible todo el año para que lo recorras con calzado cómodo y unos ricos mates.

¡Planificá con nosotros tu viaje!

#ParqueNacionalLosAlerces #ParqueNacional #Argentina #PatagoniaArgentina #Esquel",709466731_985881447512055_1820106900090378981_n.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/DbHkzoFjkWnPAinLUdDUsA/eNfTA2Mh1fRCNkaVU4KJTw435eFuMqKTsbdk-kHdBPlao5RiofZ21sGmaBE-IfTGJ8Hv6jutzYo0KnVqwiqlbr-WRWiPerIL37a58gdydJQ42Pk45isggVkF8ngSJFcErdoBzdHXud6ZRp0-v9OQcH0RqDsabWnG5cxC6hPku5SN5cgXmwEF8zhcJBS28KBxXx8747ZUf3WcTqzYrzZB6w/Kk_GqmfBya_7Bish6WMCUVBlB3t8p7LT4VSIaBgJfJY),29/5/2026,PUBLICADO ,NATURALEZA,,,,,,,,,
,colaborativa-Trochita ,@viajemosjuntos,,29/5/2026,PUBLICADO ,CULTURAL,,,,,,,,,
,colaborativa -Vuelo ,@municipalidadesquel,,29/5/2026,,,,,,,,,,,
,Aérea Curva de los Guanacos,"PAUSÁ TU RUTINA Y VIVÍ NATURALEZA

Respirar aire puro, contemplar paisajes inmensos y regalarte un momento lejos de la rutina son experiencias que realmente valen la pena.

Esquel es un viaje que te merecés: te invita a conectar con la naturaleza, bajar un cambio y disfrutar cada rincón de la Patagonia a tu propio ritmo.

Consultá con nosotros las actividades disponibles y eventos especiales de esta temporada. Estamos para asesorarte. 🙌

#Esquel #Patagonia #PatagoniaArgentina #Otoño #TurismoArgentina",708583307_1430874575733187_7005037014200063253_n.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/tcw_DAKdaAz3yM4OD9pB-Q/Fk3_ev65QG6PGsN47hYQb4MqOuzHShFKb4ey3F_dnZpokxoa5lsEki8i_37hsfyG6HX4WRv3KbVFPVl8vMsGq3fd_v-Y_3HtcVkWSMzeXCDVfk5TVm3jVwA5oAUkwJFZQMLX9e1ju0FvkXov8NOdIsREEQl6C8ec0QfiPQL6mIRYLlCiSRaNRC-gkLL2PISDt93RvNAjOG_FeEXHUXFfbQ/anXB8K03e8mX2p9IGirA_Mw1yHaE_YrCM08hGaa3DcA),30/5/2026,PUBLICADO ,,,,,,,,,,
,Alerzal Milenario,"CONOCÉ UNO DE LOS ÁRBOLES MÁS ANTIGUOS DEL PLANETA 

En el corazón del Parque Nacional Los Alerces, se encuentra el Alerce Abuelo, uno de los ejemplares más longevos del mundo 🍃

Con más de 2.600 años, este arbol inspira sabiduría y contemplación absoluta. 

📏Solo crece 1 milímetro al año. Desde que su semilla germinó, la humanidad alcanzó diferentes hitos que marcaron su historia. 

Conocerlo es posible: la excursión lacustre sale los días viernes y domingos.

📲¡Consultanos! +542945529616

#LosAlerces #ParquesNacionales #Argentina #Alerce ",709465662_1430874205733224_7995212554931500893_n.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/phDV8QLDv5JpaBT_6JBZ9w/kwg0SkvltVMg4HpYws9fkhv2aJaIfsb-uq8tPD9xKwf3VWqe-FEwhuGj9hFc_qEBBWLsA303OdjukCaXhYIgd_zli1KRj-wrT8FTLFYcPsOC07iHKkZqxkv8K3jYXDBmI16XLZtIzCdxLYWZoRbRbr2jyKiS3ANRbqxvth-8pwKrWkVUVJZ544MhMa2Bfb20e05Hlm2tG_epfrOAedSIyA/uPj4xpFUjiF0EiwiYqVUXUP4xmBNI8kVNJgNGLXGneo),31/5/2026,PUBLICADO ,PARQUE NACIONAL LOS ALERCES,,,,,,,,,
,JUNIO ,,,,,,,,,,,,,,
,COLABORATIVA ,@descubriok,,2/6/2026,,,,,,,,,,,
PAUTA ,,"¡VOLVIÓ EL VUELO DIRECTO CÓRDOBA - ESQUEL!
📍 Durante agosto, septiembre y octubre a través de Aerolíneas Argentinas:
🛫 Salida desde Córdoba: jueves a las 08:55 hs.
🛬 Llegada a Esquel: 11:30 hs.
🛫 Salida desde Esquel: lunes a las 16:00 hs.
🛬 Llegada a Córdoba: 18:20 hs.
¡Consultanos para más información! Ver menos",,3/6/2026,,,META ,,,,,,,,
,video 100 k  ,"100 MIL VECES GRACIAS ❤️
Hoy somos una comunidad de 100 mil personas que comparten la misma pasión por descubrir paisajes increíbles, vivir nuevas experiencias y enamorarse de Esquel en cada estación.
Gracias por acompañarnos, comentar y compartir. Cada mensaje, foto y recuerdo forma parte de nuestra historia. 😊
#Esquel #Patagonia #EsquelTeHaceBien #Turismo #TurismoArgentina

",WhatsApp Video 2026-06-03 at 2.54.46 PM.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/QlGL9KAv-oW9XmzyExm8Jw/La3qU-7zo4PrU3Jv7JIkHu6zKM-jEjpOR78kJpRsXdSOMlLYXk6xlKAlTxJIxEJW-MH5jpAik6MUNThuyrPFf-EH5a9WLxKSNQsSBfEBIFHHVfR9lp0zfZgbr7e4-BRWNztZNvr9tKX2wpS9bVqnZWnsgIHnX3U2evUQIgMd_CS5Ep0OIrVYcWMh05XdszUz/dvZUtDj-x0WvDhf_wof91B2pWjs88vT83kQsJN3OT8Y),3/6/2026,PUBLICADO ,CIUDAD DE ESQUEL,INSTAGRAM,,,,,,,,
,subí tu foto ,"SUBÍ TU FOTO EN ESQUEL
¡Queremos ver una foto linda que hayas sacado durante tu viaje!
Paisajes, personas, gastronomía, experiencias o lo que vos elijas... ¡Todo suma!

Compartinos en comentarios 👇",714871509_1435419835278661_2394987961510043360_n.jpg (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/lRef759AB4an4S8UPmOteQ/Cf8724ZK6joO-eKRmEgn11xkPyMwHJ5k0PoxnqFCshmVZKYlSpZm9N0rr8RuosqzqL2yHya2bxdU0kEa7cO-F0_-cHj6-sEeY_WbWs46kWoWHBs2tOD_jsvH-avUQ-olGkvy5Ls01FDEz35Re0mCKOQF2uWetJ0sjK5D-sScv3poXD96EO_CSEI6XeNsMOovTtC1nv9fPrg2ivY7gPRC5A/Ji9Tma0ZPfvNIaW79yjdCAUk4Q3DySBrvU18lDZ8Zf0),3/6/2026,PUBLICADO ,,FACEBOOK,,,,,,,,
,Visita de la Sole (historias) ,"¡GANATE UN VIAJE A ESQUEL: SORTEO 100K! 🤩
Estamos increíblemente felices por la comunidad que formamos acá. Para celebrar y agradecerles, armamos este tremendo sorteo: “100.000 Veces Gracias” ✨

1º Premio: Vuelos, estadía y excursiones para 2 personas.
2º Premio: Estadía y excursiones para 2 personas.

¿Cómo participar? ¡Es súper fácil!
✔ Seguir nuestra cuenta.
✔ Darle ""Me gusta"" a esta publicación.
✔ Mencionar en los comentarios a esa persona con la que te encantaría compartir esta aventura.

🗓️ ¡El martes 16 de junio a las 11:00 hs anunciamos a las dos personas ganadoras en nuestras historias!

📜 Revisá las Bases y Condiciones en nuestra historia destacada ""Sorteo"".

#Esquel #Patagonia #Sorteo #PatagoniaArgentina #100K",LA Sole Reel definitivo este si o si si.mp4 (https://v5.airtableusercontent.com/v3/u/55/55/1783965600000/-Uq6NWd7V2F749-pGgNk3g/9eEb-M1yOk3zbsQ9IJpLTxBkO567yh_PJ3sbWI8FJTNr8K2kR5jJTRh-HAkDbob3Mok30zug1ZwYh8FT03fHGDIsbkzGeKA4eTEaGp5aZD9pND_WXuVIbxBBeCZwF-E4er9BxllT6kVAn0LJlz2TomJ6Icf_UzX29VUv2D6Za518RWZ3Kmgvg8Nftfn5X5H9/JCinXCkf_tPZXJYOIoT4HsDch1PmMoaQOg6GAaqS1t8),4/6/2026,PUBLICADO ,CULTURAL,INSTAGRAM,,,,,,,,
